name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colombo,2022-01-26,87.9,74.6,80.6,96.1,74.6,84.5,74.2,81.7,0.0,0,0.0,,0,0,16.3,9.2,233.6,1009.2,19.1,7.0,243.2,20.9,8,10.0,2022-01-26T06:29:05,2022-01-26T18:17:21,0.79,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-27,89.7,73.5,80.6,93.2,73.5,81.8,70.3,74.7,0.0,0,0.0,,0,0,17.4,16.1,44.7,1008.9,10.5,6.2,262.9,22.7,9,10.0,2022-01-27T06:29:10,2022-01-27T18:17:42,0.83,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-28,88.3,69.9,80.7,98.0,69.9,84.4,71.5,75.3,0.016,100,4.17,rain,0,0,17.2,10.3,16.6,1009.6,20.1,7.6,241.5,20.8,9,30.0,2022-01-28T06:29:14,2022-01-28T18:18:02,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-29,89.7,73.5,81.6,102.8,73.5,88.1,76.3,85.3,0.0,0,0.0,,0,0,17.2,10.3,27.7,1010.3,19.1,6.7,255.4,22.0,9,30.0,2022-01-29T06:29:16,2022-01-29T18:18:21,0.9,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-30,87.9,75.3,81.7,102.7,75.3,89.1,77.3,87.3,0.0,0,0.0,,0,0,19.5,8.1,354.4,1010.5,15.3,6.9,257.9,22.2,9,30.0,2022-01-30T06:29:18,2022-01-30T18:18:40,0.93,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-01-31,87.9,75.3,82.8,102.2,75.3,89.8,76.8,83.1,0.0,0,0.0,,0,0,15.7,9.2,15.6,1009.6,18.8,7.1,217.4,18.8,8,30.0,2022-01-31T06:29:19,2022-01-31T18:18:58,0.97,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-01,93.3,71.7,82.4,100.5,71.7,85.6,71.4,72.4,0.0,0,0.0,,0,0,21.0,12.8,21.8,1009.2,4.9,6.9,284.6,24.7,10,10.0,2022-02-01T06:29:19,2022-02-01T18:19:15,0.0,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-02,87.9,69.9,80.5,97.2,69.9,84.0,70.1,71.4,0.0,0,0.0,,0,0,17.2,8.1,348.2,1010.2,7.6,6.7,252.9,21.9,9,10.0,2022-02-02T06:29:18,2022-02-02T18:19:32,0.03,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-03,84.3,71.7,79.5,92.7,71.7,82.4,71.8,78.2,0.0,0,0.0,,0,0,17.7,9.2,314.3,1010.8,10.4,6.8,268.3,23.0,9,0.0,2022-02-03T06:29:16,2022-02-03T18:19:48,0.07,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-04,87.9,69.9,79.5,94.4,69.9,82.3,71.8,79.4,0.0,0,0.0,,0,0,16.8,8.1,256.9,1009.3,6.1,7.1,288.1,24.9,10,0.0,2022-02-04T06:29:13,2022-02-04T18:20:03,0.1,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-05,91.5,73.5,82.1,100.5,73.5,87.2,74.7,80.7,0.0,0,0.0,,0,0,18.3,13.9,309.9,1009.0,9.1,6.9,281.7,24.3,10,10.0,2022-02-05T06:29:09,2022-02-05T18:20:17,0.13,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-06,93.3,71.7,81.8,97.2,71.7,84.1,69.8,71.0,0.0,0,0.0,,0,0,22.1,12.3,19.0,1010.9,5.8,6.9,279.9,24.2,10,10.0,2022-02-06T06:29:04,2022-02-06T18:20:31,0.16,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-07,91.5,71.7,82.3,94.5,71.7,84.1,68.0,64.1,0.0,0,0.0,,0,0,25.5,16.1,41.8,1011.4,8.2,7.4,241.9,20.9,8,30.0,2022-02-07T06:28:59,2022-02-07T18:20:44,0.19,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-08,91.5,71.7,80.4,93.4,71.7,83.0,70.7,74.4,0.0,0,0.0,,0,0,26.4,13.9,21.3,1010.4,8.7,7.1,266.3,23.1,9,10.0,2022-02-08T06:28:52,2022-02-08T18:20:57,0.25,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-09,93.3,73.5,82.5,94.5,73.5,84.1,68.6,65.4,0.0,0,0.0,,0,0,23.3,13.9,35.5,1009.7,13.6,7.4,274.1,23.7,9,10.0,2022-02-09T06:28:44,2022-02-09T18:21:08,0.26,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-10,87.9,73.5,80.1,96.1,73.5,83.4,73.7,81.7,0.02,100,4.17,rain,0,0,20.4,10.3,24.6,1009.6,20.6,6.9,209.8,18.2,8,30.0,2022-02-10T06:28:36,2022-02-10T18:21:19,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-11,86.1,75.3,80.2,95.4,75.3,83.9,76.0,87.8,0.007,0,4.17,rain,0,0,18.8,11.4,42.8,1009.2,30.2,6.8,232.4,20.1,9,30.0,2022-02-11T06:28:27,2022-02-11T18:21:30,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CEM00043486,43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43486099999,43466099999,CEM00043466"
Colombo,2022-02-12,89.4,73.5,79.8,102.1,73.5,83.6,75.5,88.1,0.45,100,12.5,rain,0,0,20.8,9.2,24.1,1008.8,26.2,6.9,172.8,14.8,7,30.0,2022-02-12T06:28:16,2022-02-12T18:21:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-13,84.3,73.5,78.0,91.1,73.5,79.9,73.8,87.6,1.112,100,12.5,rain,0,0,28.2,16.1,36.7,1008.6,41.7,7.2,60.9,5.2,2,10.0,2022-02-13T06:28:05,2022-02-13T18:21:48,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
